Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,145.4626923,0,147.8540174,145.3132249,146.5686836,0,32200400
2024-01-23,146.5088959,0,146.6483896,144.9744649,145.3630557,0,21636100
2024-01-24,148.1629028,0,149.3087582,147.5650791,148.0034771,0,25233500
2024-01-25,151.3214417,0,152.4971874,148.9998558,149.5279554,0,29149100
2024-01-26,151.6402893,0,151.989016,150.4645436,150.5542301,0,26115500
2024-01-29,152.9555054,0,153.2245344,150.8830167,151.5107459,0,27784300
2024-01-30,150.9129333,0,153.0651199,150.6439043,152.2480896,0,36331800
2024-01-31,139.5939636,0,143.4798707,139.3647834,143.1012384,0,71910000
2024-02-01,140.6501465,0,142.5432778,140.2814726,141.6066705,0,40466500
2024-02-02,141.8657379,0,142.1048613,136.0069712,138.7569968,0,62470600
2024-02-05,143.161026,0,144.9445691,142.2642828,142.3041469,0,38505400
2024-02-06,143.5795288,0,144.8349723,142.672812,144.1275301,0,29128200
2024-02-07,145.0143127,0,145.0940256,143.4101273,144.2371313,0,25208900
2024-02-08,145.3829803,0,145.8014615,144.5759085,145.3032675,0,22563800
2024-02-09,148.4618225,0,148.9002357,145.6520009,146.1501949,0,26829500
2024-02-12,146.9971313,0,148.8005913,146.8377056,147.8839161,0,21564100
2024-02-13,144.6157532,0,146.1402256,143.1709936,144.3965466,0,27837700
2024-02-14,145.4128723,0,145.9907792,143.5695484,145.552366,0,22704200
2024-02-15,142.2543182,0,143.0016092,139.9526644,142.6229769,0,37590700
2024-02-16,140.0124512,0,142.6728054,139.6338189,142.4735308,0,31451100
2024-02-20,140.6102753,0,141.5668145,138.9861731,139.1555572,0,25144700
2024-02-21,142.0351105,0,142.1746042,140.1718546,140.9390776,0,23315700
2024-02-22,143.5695343,0,144.476251,142.2842006,144.4064965,0,27191900
2024-02-23,143.440033,0,144.1574184,142.9119333,143.1510719,0,19493800
2024-02-26,137.0731049,0,141.9255096,136.8937471,141.6265901,0,53641800
2024-02-27,138.3783722,0,138.7470309,136.5948291,137.5214779,0,33099200
2024-02-28,135.8873901,0,137.5114921,134.9208926,137.4018888,0,37328600
2024-02-29,137.9598846,0,138.3584337,135.9073127,136.7841389,0,42133000
2024-03-01,136.6446381,0,138.3683849,136.4254315,137.9299718,0,31119500
2024-03-04,132.8683472,0,135.170001,131.433546,135.170001,0,55999400
2024-03-05,132.1907959,0,132.7587444,130.1980199,131.4036561,0,40194800
2024-03-06,130.9253693,0,133.0975029,130.3773681,132.6391577,0,35318600
2024-03-07,133.8946228,0,134.4525976,131.1346238,132.3103543,0,37738200
2024-03-08,134.9208984,0,137.5912109,133.5159878,133.7252359,0,39343100
2024-03-11,137.1727448,0,138.5975876,135.6383138,135.6383138,0,32437800
2024-03-12,137.9997253,0,138.8765516,136.5350339,136.5350339,0,27563400
2024-03-13,139.2850647,0,140.5803721,138.4879665,138.4979249,0,23347200
2024-03-14,142.5831299,0,143.0713503,139.9526662,140.6800251,0,42753400
2024-03-15,140.6700439,0,142.6628199,139.5242039,141.9852833,0,49460600
2024-03-18,147.1465759,0,151.6004316,146.6384235,148.0732247,0,69273700
2024-03-19,146.4989166,0,148.2525539,145.5523511,147.6248399,0,24070400
2024-03-20,148.2027588,0,148.3223205,146.2099828,147.4654262,0,21311500
2024-03-21,147.0668793,0,149.8268632,146.3693955,148.93012,0,24755600
2024-03-22,150.2254333,0,151.0325053,148.4418902,148.5813839,0,29175700
2024-03-25,149.5279541,0,149.8368319,147.2860811,149.3984188,0,19229300
2024-03-26,150.1257782,0,151.7100315,149.438268,149.6774066,0,22149100
2024-03-27,150.3250427,0,151.0922657,148.3621573,150.6339206,0,22879200
2024-03-28,150.3848419,0,150.8830359,149.6275925,150.3051443,0,24485400
2024-04-01,154.9283905,0,155.1774875,150.0660117,150.1457246,0,31730800
2024-04-02,154.0017242,0,154.141218,151.6004256,152.9455554,0,24586000
2024-04-03,154.3604279,0,154.5198536,152.1783357,153.0452036,0,24705000
2024-04-04,149.9862976,0,154.2109886,149.9065847,152.9455714,0,34724700
2024-04-05,151.949173,0,152.8658481,149.0596538,149.4880933,0,23449300
2024-04-08,154.2906952,0,154.7091763,152.0587805,152.2281646,0,20702000
2024-04-09,156.0343628,0,157.9872747,154.6294521,155.5261952,0,31113000
2024-04-10,155.5760193,0,156.0443229,154.1212861,155.6457737,0,22838600
2024-04-11,158.8342133,0,159.1032271,155.8948717,156.3432433,0,27166400
2024-04-12,157.1602783,0,159.64129,156.572413,157.3894585,0,25329200
2024-04-15,154.3006439,0,158.6648282,154.0316149,158.2861959,0,27136500
2024-04-16,153.8423004,0,155.0877854,152.8758028,153.6330675,0,20779500
2024-04-17,154.9084473,0,156.5126326,154.0216625,155.0578994,0,21763100
2024-04-18,155.4464874,0,156.3731362,154.0615087,154.7789093,0,19883000
2024-04-19,153.533432,0,155.7952372,151.7499041,155.6358114,0,32239100
2024-04-22,155.7155151,0,157.0706034,153.5035326,153.7526296,0,26446200
2024-04-23,157.6883545,0,158.3957966,155.7155106,156.3930623,0,21151600
2024-04-24,158.5552368,0,158.99365,156.6023095,156.921161,0,22779100
2024-04-25,155.4365234,0,155.924759,150.3250483,150.7833934,0,57109700
2024-04-26,171.3289185,0,174.0789591,169.037223,173.7401757,0,64665300
2024-04-29,165.5498657,0,168.9375942,164.6132737,168.4493585,0,45610000
2024-04-30,162.1920471,0,167.4928389,162.0127046,165.0118272,0,33562900
2024-05-01,163.2681427,0,166.5163622,162.5009197,163.7065559,0,33493200
2024-05-02,166.0181732,0,166.1277765,163.2980381,164.1947812,0,24294500
2024-05-03,166.6359253,0,167.3533258,162.4610574,166.9547615,0,34662400
2024-05-06,167.4928436,0,167.5326925,165.430313,166.8551559,0,21871300
2024-05-07,170.6314392,0,171.1395916,167.781769,167.8913723,0,28039700
2024-05-08,168.768219,0,169.5354269,168.1305312,168.3895867,0,19569100
2024-05-09,169.3461151,0,170.0734741,167.5725304,168.7781666,0,15346700
2024-05-10,168.0408325,0,169.2365103,165.5897265,167.4230768,0,29799900
2024-05-13,168.529068,0,168.6685617,163.4076342,163.6666896,0,31327600
2024-05-14,169.7247314,0,170.6314482,168.1903006,169.1567982,0,25127100
2024-05-15,171.8869019,0,172.0263956,169.8941257,170.0137026,0,26948400
2024-05-16,173.5508423,0,174.4874494,172.066234,172.6640576,0,27867900
2024-05-17,175.424057,0,175.6333052,173.0626225,173.5508428,0,24479300
2024-05-20,176.2809753,0,178.1242994,175.444013,175.5536163,0,22554400
2024-05-21,177.2076111,0,177.5065153,175.1749711,176.2610303,0,16989400
2024-05-22,175.7429047,0,176.5101124,174.5771326,176.00196,0,17880000
2024-05-23,172.9231567,0,177.6061777,172.3253178,176.4304471,0,21024900
2024-05-24,174.3579559,0,175.1351374,173.0227843,174.3479823,0,16572500
2024-05-28,175.7628479,0,176.6297159,173.7401814,173.8198942,0,20572200
2024-05-29,175.2646332,0,176.2012403,174.0889027,174.7963296,0,23388700
2024-05-30,171.4883423,0,174.5871096,171.1694908,174.5671776,0,22958700
2024-05-31,171.8769226,0,172.4348974,168.8279779,171.2392349,0,37638900
2024-06-03,172.5445099,0,173.8995982,170.5417755,171.9167806,0,27459100
2024-06-04,173.1622772,0,173.2220733,171.269146,172.6541248,0,26879600
2024-06-05,174.776413,0,176.0119243,173.3017479,174.5671648,0,22068500
2024-06-06,176.0916443,0,176.5101254,175.1151883,175.2646404,0,23251000
2024-06-07,173.8298492,0,177.2275206,173.6704235,176.4104904,0,19661400
2024-06-10,174.5779877,0.2,176.6229304,172.3335417,174.5380931,0,23779200
2024-06-11,176.184021,0,176.4034792,173.3410652,175.7850145,0,21540600
2024-06-12,177.3511353,0,179.9646784,175.6752895,177.8100065,0,27864700
2024-06-13,174.7276306,0,176.3037323,174.448323,175.6752825,0,20913300
2024-06-14,176.3536072,0,176.622945,173.7201243,173.7899588,0,18063600
2024-06-17,176.8025055,0,177.919736,174.3784958,175.0269005,0,19618500
2024-06-18,174.6577911,0,176.9521167,173.6702447,176.7027338,0,21869900
2024-06-20,175.8648071,0,176.8523536,174.5580433,174.9370949,0,20160100
2024-06-21,179.1865997,0,180.4035895,176.1740501,176.5630868,0,58582700
2024-06-24,178.7776031,0,180.443479,178.2289578,179.7152852,0,18298000
2024-06-25,183.5757294,0,183.8350821,178.9771083,179.1766116,0,23235600
