Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,166.308197,0,168.1363995,165.9171426,166.6503808,0,12837500
2024-01-23,165.2132263,0,165.9562356,164.6755154,165.8780218,0,8360800
2024-01-24,166.6894531,0,167.1880496,165.0861065,165.5749319,0,9967100
2024-01-25,169.0749512,0,169.1238367,167.090321,168.4590263,0,8873500
2024-01-26,168.4296875,0,169.192254,167.9408621,168.7523141,0,7443000
2024-01-29,168.8696442,0,168.9771864,167.4716105,168.3906047,0,6971200
2024-01-30,172.3305359,0,172.8095753,168.9674143,168.9674143,0,10822100
2024-01-31,170.4632111,0,174.315158,170.4436539,172.2620851,0,11521800
2024-02-01,169.8472748,0,170.9324678,167.5986749,169.7592898,0,9354800
2024-02-02,170.8249359,0,171.8905867,169.3877879,169.4269023,0,8607600
2024-02-05,170.6000824,0,171.1768928,169.0553922,169.9743864,0,7820200
2024-02-06,171.1866608,0,171.9394411,169.8765974,170.7076065,0,6764800
2024-02-07,171.5092773,0,171.9394461,170.0721444,171.7634761,0,7225500
2024-02-08,170.8933716,0,171.3919681,169.6908652,171.0888988,0,6060300
2024-02-09,171.0986786,0,171.1866785,169.78863,171.0889075,0,6296700
2024-02-12,171.8612366,0,172.8584446,169.8179499,170.8738146,0,8539300
2024-02-13,170.3654327,0,172.2914061,168.7620859,171.4017552,0,8397600
2024-02-14,172.095871,0,172.1643137,170.5218526,171.1573345,0,7056700
2024-02-15,175.8500519,0,176.1824645,172.2131896,172.2131896,0,8723400
2024-02-16,175.0288239,0,175.9575891,174.1782724,175.5958631,0,8148100
2024-02-20,175.7131653,0,176.4268611,174.422674,175.1852404,0,9668000
2024-02-21,176.8570251,0,176.9450251,174.5302264,175.9282599,0,7027900
2024-02-22,178.9785461,0,179.320715,177.1894433,177.7564826,0,9296500
2024-02-23,179.878006,0,181.0609553,179.0958822,179.7020211,0,7105800
2024-02-26,179.2620697,0,180.3374917,178.4017321,179.643353,0,7145400
2024-02-27,179.3500519,0,179.4380369,178.1671027,179.2131814,0,5717100
2024-02-28,180.2592773,0,181.0609433,178.8710149,179.3304971,0,6131600
2024-02-29,181.9017181,0,182.2634442,179.7411181,181.5106638,0,9643000
2024-03-01,181.1489105,0,182.2732179,180.9631694,181.5497509,0,6311800
2024-03-04,182.5078583,0,183.3975242,180.151731,180.5818998,0,7063600
2024-03-05,184.3360596,0,185.0692977,182.195002,182.195002,0,6617800
2024-03-06,185.2941742,0,185.822114,183.4366434,185.0204331,0,7572900
2024-03-07,183.6712646,0,186.2424912,182.4589871,185.6656808,0,7618300
2024-03-08,184.0134583,0,186.2034017,183.72016,184.2285426,0,6166800
2024-03-11,184.0818939,0,184.2285505,182.0581642,183.0944718,0,5762600
2024-03-12,185.5972443,0,185.9100997,183.7103852,184.7271356,0,5708400
2024-03-13,187.102829,0,187.4449978,185.5972383,186.1056209,0,7795500
2024-03-14,183.769043,0,187.3472489,182.9184914,186.7606524,0,10310900
2024-03-15,186.0469666,0,186.6726625,182.312333,182.312333,0,17208100
2024-03-18,188.3542328,0,188.3933323,185.6461355,186.3696026,0,9013800
2024-03-19,189.4589539,0,189.5958244,188.0804775,188.4031041,0,8478700
