Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,192.9447479,0,194.3777301,191.3226896,191.3625031,0,60133900
2024-01-23,194.2284546,0,194.795683,192.8850452,194.0692462,0,42355600
2024-01-24,193.5517731,0,195.4226125,193.3925495,194.4672861,0,53631300
2024-01-25,193.2233887,0,195.3131569,192.1685588,194.2682728,0,54822100
2024-01-26,191.4819183,0,193.8105068,191.0042627,193.3229053,0,44594000
2024-01-29,190.7952881,0,191.262998,188.6557757,191.0739218,0,47145600
2024-01-30,187.1232758,0,190.864955,186.5560625,190.009147,0,55859400
2024-01-31,183.5010223,0,186.1878717,183.4512782,186.1281514,0,55467800
2024-02-01,185.9490356,0,186.0385932,182.9238627,183.0930321,0,64885400
2024-02-02,184.9439545,0,186.416735,178.3761246,178.9831513,0,102518000
2024-02-05,186.7650299,0,188.3273833,184.9340038,187.2327398,0,69668800
2024-02-06,188.3771362,0,188.387082,185.8594716,185.9490292,0,43490800
2024-02-07,188.486618,0,190.1186223,187.6905151,189.7106175,0,53439000
2024-02-08,187.4019165,0,188.6159548,186.4366442,188.4666922,0,40962000
2024-02-09,188.1691284,0.24,189.3050177,187.3221869,187.9698373,0,45155200
2024-02-12,186.4752655,0,187.9897897,186.1165628,187.7406911,0,41781900
2024-02-13,184.3728638,0,185.5386589,182.8483811,185.1002428,0,56529500
2024-02-14,183.4860687,0,184.8610982,181.7822424,184.6518638,0,54630500
2024-02-15,183.1971283,0,183.8248618,180.6961831,182.8882484,0,65434500
2024-02-16,181.6526947,0,184.1835455,181.0150028,182.7586933,0,49701400
2024-02-20,180.9054108,0,181.7722692,179.3510375,181.1345773,0,53665600
2024-02-21,181.6626892,0,182.2306263,180.0086704,181.2840544,0,41529700
2024-02-22,183.7052917,0,184.2931762,181.8021894,182.818501,0,52292200
2024-02-23,181.8619537,0,184.3728573,181.5729908,184.3429667,0,45119700
2024-02-26,180.5068512,0,182.1010735,179.9986802,181.5829592,0,40867400
2024-02-27,181.9715576,0,183.2569,178.9126188,180.447075,0,54318900
2024-02-28,180.7659302,0,182.4597982,179.4805877,181.8519968,0,48953900
2024-02-29,180.0983429,0,181.9117886,178.8827401,180.6164724,0,136682600
2024-03-01,179.0122681,0,179.8791266,176.7404895,178.902664,0,73488000
2024-03-04,174.4687195,0,176.2622178,173.1634296,175.5149218,0,81510100
2024-03-05,169.5066528,0,171.4197287,169.0084555,170.1443448,0,95132400
2024-03-06,168.5102539,0,170.6226208,168.0718378,170.4432619,0,68587700
2024-03-07,168.390686,0,170.1144444,167.8825303,168.5401391,0,71765100
2024-03-08,170.1144562,0,173.0737495,168.3309164,168.3906977,0,76114600
2024-03-11,172.127182,0,173.7513102,171.4297088,172.3164994,0,60139500
2024-03-12,172.6054382,0,173.402557,170.3934409,172.5257248,0,59825400
2024-03-13,170.513031,0,172.5656017,170.1443546,172.1471177,0,52488700
2024-03-14,172.3762817,0,173.6815564,171.4297098,172.2866099,0,72913500
2024-03-15,171.9976349,0,171.9976349,169.6760336,170.5528657,0,121664700
2024-03-18,173.093689,0,177.0693093,172.8944131,174.9370252,0,75604200
2024-03-19,175.4451752,0,175.9732631,172.4061684,173.711443,0,55215200
2024-03-20,178.0258331,0,178.0258331,174.4587384,175.0864719,0,53423100
2024-03-21,170.7521362,0,176.8500815,170.2240483,176.4116654,0,106181300
2024-03-22,171.6588745,0,172.4261027,169.4468771,171.140745,0,71106600
2024-03-25,170.2340393,0,171.3201059,168.8390776,169.95505,0,54288300
2024-03-26,169.0981445,0,170.8019709,168.9686084,169.3870923,0,57388400
2024-03-27,172.6851654,0,172.9741284,169.4967054,169.7956268,0,60273300
2024-03-28,170.8617554,0,171.6090514,169.8952513,171.1307862,0,65672700
2024-04-01,169.4169769,0,170.6325796,168.8689568,170.5727983,0,46240500
2024-04-02,168.2312775,0,168.7294748,167.6234761,168.4704177,0,49329500
2024-04-03,169.0383453,0,170.0646306,167.972211,168.1814453,0,47691700
2024-04-04,168.2113495,0,171.3001637,168.2113495,169.6760356,0,53704400
2024-04-05,168.9686127,0,169.7756899,168.3408792,168.9785711,0,42055200
