Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,157.4842072,0,158.5601446,156.3888793,157.0286291,0,6824200
2024-01-23,154.905838,0,155.5843538,152.0948375,154.760447,0,9149800
2024-01-24,154.0819397,0,155.6716118,153.3064866,154.8476902,0,7247900
2024-01-25,154.6634979,0,154.7216543,153.6069509,154.1206853,0,5478900
2024-01-26,154.6053467,0,155.8072995,154.4696435,155.5068002,0,5591900
2024-01-29,154.4696503,0,155.1578687,154.0819312,154.130385,0,6483200
2024-01-30,153.8977509,0,154.8573608,153.2773914,154.4599539,0,7200500
2024-01-31,154.0237427,0,155.6909613,153.800805,155.4777114,0,8256800
2024-02-01,153.5003357,0,153.6263511,152.2305386,153.3064761,0,8012000
2024-02-02,151.8040466,0,153.4518751,151.154609,153.1223124,0,8295500
2024-02-05,151.0188904,0,152.0754375,150.5730001,151.8040311,0,9121600
2024-02-06,153.2095184,0,153.858956,150.8250182,151.0479559,0,9229900
2024-02-07,153.1320038,0,154.4793477,152.8509096,152.9575346,0,8690300
2024-02-08,151.6004791,0,152.5116353,150.543932,152.5116353,0,9755000
2024-02-09,151.9494171,0,152.375917,150.8928701,151.4744635,0,6529200
2024-02-12,153.0059967,0,153.5488094,151.5520278,151.7749656,0,6701500
2024-02-13,151.6683197,0,153.5875542,150.9704136,152.8024135,0,8621000
2024-02-14,150.9607391,0,151.6586453,150.088349,151.5520204,0,9098800
2024-02-15,153.0738373,0,153.6166499,151.106134,151.1933686,0,7462500
2024-02-16,152.8980255,1.19,153.5914544,152.0385493,152.9468621,0,8540700
2024-02-20,154.177475,0,154.9099791,152.7906022,152.9077981,0,9501700
2024-02-21,154.9783325,0,154.9881088,153.4645026,154.3337402,0,7473300
2024-02-22,156.7070465,0,156.9902898,154.0895722,155.2713372,0,8065000
2024-02-23,158.064621,0,158.4650601,156.4238189,157.127024,0,6726000
2024-02-26,157.0391235,0,158.2306649,156.8242694,158.025572,0,5465400
2024-02-27,157.2246857,0,157.2832836,155.9159485,156.5996161,0,5078600
2024-02-28,157.7813873,0,157.8399853,156.5507709,157.2442147,0,6071100
2024-02-29,157.6153717,0,158.4064738,157.1856335,158.2209037,0,9849100
2024-03-01,158.338089,0,158.7776034,157.3321178,158.0548606,0,5668000
2024-03-04,156.1112671,0,157.8399809,154.5778996,157.5567525,0,8532900
2024-03-05,156.2382507,0,157.4786286,155.486209,156.8730817,0,8298200
2024-03-06,155.6229401,0,157.1758452,155.5057442,155.7401509,0,5773700
2024-03-07,155.1638947,0,156.6191415,154.5486014,156.2675389,0,5188700
2024-03-08,155.7987518,0,156.6484519,154.7341678,155.163906,0,5283200
2024-03-11,157.4688568,0,157.5567686,155.1736861,155.7694567,0,4620800
2024-03-12,158.943634,0,159.304998,157.3711912,157.8106907,0,8018700
2024-03-13,157.3419037,0,158.8850327,156.0819882,158.7385378,0,6260000
2024-03-14,155.4959869,0,157.77162,154.9881132,157.1856257,0,6988300
2024-03-15,154.4900055,0,155.476454,153.4352126,154.3728096,0,13165500
2024-03-18,153.1031189,0,154.9881039,152.8491895,154.870908,0,6602300
2024-03-19,152.565979,0,153.20081,152.0288063,153.0152399,0,7840600
2024-03-20,152.1264496,0,152.7905944,151.5892918,152.0678516,0,5982300
2024-03-21,152.1166992,0,153.2887029,151.4818682,151.9604281,0,5915800
2024-03-22,151.6088257,0,152.7124701,151.4916298,152.0581015,0,7245400
2024-03-25,151.5990601,0,152.3413256,151.2865178,151.7748539,0,7498100
2024-03-26,152.1362152,0,152.585476,151.1497669,151.9799441,0,6864100
2024-03-27,154.2751465,0,154.5290759,151.8139284,152.3511011,0,8461600
2024-03-28,154.4997864,0,155.427622,154.4216508,154.5095477,0,6181500
2024-04-01,154.0993347,0,154.4606987,153.1129012,154.0407368,0,4364700
2024-04-02,154.0504913,0,154.1481645,152.3120161,152.917563,0,6102300
2024-04-03,150.661438,0,154.3630337,150.6516766,154.1090894,0,8098200
2024-04-04,148.9425049,0,151.8725214,148.854608,151.6869513,0,6947400
2024-04-05,148.8350677,0,149.4405997,148.0732647,148.4834652,0,6778100
2024-04-08,148.0537262,0,149.4698978,148.0244272,148.444404,0,5935400
2024-04-09,148.7373962,0,148.9718029,147.4188978,148.0146684,0,6135600
2024-04-10,146.6961517,0,148.2783707,146.2664136,147.9951275,0,6809500
2024-04-11,145.319046,0,147.3505259,144.9283831,147.2821666,0,8374400
2024-04-12,144.0786743,0,145.5925191,143.7172955,144.6060707,0,7097500
2024-04-15,144.147049,0,146.0027351,143.9321799,144.9088521,0,8502300
2024-04-16,141.080307,0,142.8383201,140.0450368,141.6272411,0,12774900
2024-04-17,141.3928375,0,142.0179071,140.19152,141.617468,0,9378100
2024-04-18,142.34021,0,142.3988079,139.791095,141.5979296,0,9887700
2024-04-19,144.4595947,0,144.6744638,141.1681991,142.740642,0,9747700
2024-04-22,145.6413422,0,146.764524,143.8638066,145.0455716,0,10118700
2024-04-23,146.0710907,0,146.9794036,144.7428159,146.3640953,0,10110400
2024-04-24,145.0651245,0,145.5144003,143.4340837,144.6842229,0,9756300
2024-04-25,143.3950043,0,146.0906139,142.9164296,145.8855062,0,7642700
2024-04-26,142.7308807,0,143.7466133,142.5453106,143.2778148,0,6183000
2024-04-29,143.3950043,0,143.7856671,142.5843646,142.7308595,0,6149600
2024-04-30,141.217041,0,143.4536289,141.1584431,143.4536289,0,8817700
2024-05-01,147.6532898,0,148.3076733,144.1763393,145.2702222,0,14470900
2024-05-02,146.4226837,0,148.7764671,145.6608806,148.4932239,0,8459800
2024-05-03,145.7878571,0,146.393389,144.3716854,146.393389,0,6532700
2024-05-06,145.1139526,0,146.5496619,144.4595841,146.3738532,0,5042800
2024-05-07,145.2506866,0,146.2371202,144.986981,145.8952939,0,7333500
2024-05-08,145.4753265,0,146.2371297,145.2311585,145.641359,0,7735100
2024-05-09,146.3543243,0,146.5984924,145.4167125,145.5046095,0,6546200
2024-05-10,146.4129181,0,146.5887119,145.709713,146.500815,0,5710600
2024-05-13,147.6923676,0,148.4541707,146.2175979,146.5398866,0,5628500
2024-05-14,147.8486328,0,148.6592725,147.184488,148.3076699,0,8254200
2024-05-15,149.1085358,0,149.3820028,147.7704997,148.2783734,0,5548000
2024-05-16,150.6809845,0,150.7786577,148.7764767,149.4308453,0,7591000
2024-05-17,151.0325775,0,151.2474466,150.1242796,151.2474466,0,6521800
2024-05-20,148.9354706,1.24,151.022748,148.9256153,150.7372302,0,7742300
2024-05-21,148.9059296,0,150.2350861,148.4628624,149.4375892,0,5492400
2024-05-22,151.1310425,0,151.7020932,148.0001265,148.5120905,0,6609800
2024-05-23,147.389679,0,150.4812188,147.0746253,150.3926114,0,8000400
2024-05-24,144.7018127,0,147.4979794,144.4950471,147.2223019,0,9517000
2024-05-28,142.1517944,0,144.5245896,141.9253332,144.5245896,0,10499800
2024-05-29,142.2108765,0,143.175748,141.4921467,141.6004497,0,8263800
2024-05-30,143.0379028,0,143.3628118,141.7973537,142.388085,0,8491100
2024-05-31,144.4064484,0,145.2039453,142.9492933,143.3234336,0,14621200
2024-06-03,145.4599304,0,146.6020167,144.5048993,144.9774872,0,7329200
2024-06-04,145.5190125,0,146.0211362,143.9338589,145.2039438,0,8876400
2024-06-05,143.7172546,0,145.7060843,143.5991114,145.6863888,0,5891300
2024-06-06,144.1603088,0,144.7313595,142.4274762,143.2545089,0,5016300
2024-06-07,144.8101349,0,146.011308,144.0815498,144.416299,0,5111600
2024-06-10,144.8593597,0,145.2827164,143.3529733,144.2686135,0,5751300
2024-06-11,144.4950562,0,144.888892,143.1954354,144.5442875,0,5661200
2024-06-12,143.1658936,0,144.9381172,142.5456115,144.7904231,0,6180500
2024-06-13,143.2052765,0,143.7467914,141.659514,142.8311512,0,6840400
2024-06-14,143.2938843,0,143.7172559,142.2502456,142.9000635,0,4075300
2024-06-17,143.6975555,0,144.1701435,142.5062378,142.7819154,0,6666600
2024-06-18,143.4021912,0,144.1307762,143.0182106,143.7074196,0,6156600
2024-06-20,145.4993134,0,145.7946865,142.7720585,143.0280555,0,8749700
2024-06-21,146.4543457,0,146.7792546,145.0956384,145.6076175,0,15176900
2024-06-24,146.8186188,0,147.409365,145.8832832,146.7004755,0,6914700
2024-06-25,144.9184265,0,146.8974009,144.6722848,146.8777053,0,6620300
2024-06-26,144.5541382,0,144.9184232,143.5301801,143.9436964,0,5267800
2024-06-27,143.5498657,0,145.0857878,142.6046748,144.5344327,0,5739200
2024-06-28,143.9043274,0,144.800287,143.4021886,143.7861691,0,10495700
2024-07-01,144.1800079,0,146.4051242,143.3726557,143.8157229,0,5144400
2024-07-02,143.7763214,0,144.8790317,143.4908036,144.1701422,0,5492000
2024-07-03,143.4415741,0,144.38675,142.5062384,143.9436979,0,3246200
2024-07-05,144.2193756,0,144.2883025,142.2699371,143.5203414,0,4888500
2024-07-08,143.2348022,0,144.9479542,143.008356,144.1406021,0,5260200
2024-07-09,144.7805786,0,144.8593458,142.9394281,143.4218714,0,5890400
2024-07-10,147.1238556,0,147.1632467,144.416296,144.9873468,0,6093200
2024-07-11,147.389679,0,148.2561027,146.3460403,147.2715357,0,6350400
2024-07-12,147.5669098,0,148.5514768,146.9367875,147.685053,0,5336400
2024-07-15,146.9367981,0,147.9312054,146.5724981,147.7638308,0,6711400
2024-07-16,148.6794739,0,148.7484008,146.8580337,147.3798531,0,6469600
2024-07-17,154.1635132,0,155.0594728,149.0831435,149.211142,0,13801400
2024-07-18,153.0214081,0,154.6459527,152.2337514,153.198638,0,10166200
2024-07-19,152.3026886,0,154.0945929,151.7414781,154.0945929,0,7398000
2024-07-22,151.8596344,0,152.716203,151.2196568,152.3814538,0,6840600
2024-07-23,149.9987946,0,151.1310406,149.2308335,150.9439705,0,6261900
2024-07-24,153.8681335,0,153.9961321,149.9790968,150.4024534,0,7168200
2024-07-25,157.1762848,0,158.1017802,153.5924613,154.0650493,0,10019600
2024-07-26,158.1608582,0,159.0863536,157.0089165,157.284594,0,8356900
2024-07-29,156.1129456,0,157.5307245,155.6108218,157.5011887,0,5625000
2024-07-30,158.84021,0,159.0568159,155.9160445,156.0932594,0,6545700
2024-07-31,155.4139099,0,157.8753275,155.3056069,157.3830439,0,8293200
2024-08-01,158.2789917,0,158.3282231,155.2760743,156.0341801,0,7213400
2024-08-02,161.6068268,0,162.305876,158.515287,159.4013913,0,11280400
2024-08-05,158.7614441,0,163.2215318,158.1017859,161.2622379,0,12032200
2024-08-06,156.5166168,0,158.9878746,156.487081,158.564518,0,7607100
2024-08-07,156.4477081,0,158.1411648,155.7486739,156.4181723,0,5993000
2024-08-08,157.7473297,0,158.2199177,155.5911255,156.1228001,0,5094800
2024-08-09,158.1411438,0,158.4463572,156.8808993,157.6488603,0,4579200
2024-08-12,157.4125824,0,159.2044866,156.2606408,158.4857569,0,7605400
2024-08-13,155.9455719,0,157.8950104,154.0256692,157.7965627,0,9711400
