Date,Value_Benchmark,Value_EqualWeight,Value_RebalanceStrategy
2024-03-01,50000.0,50000.0,50000.0
2024-03-02,49340.654241367345,50321.46007075884,49686.808156708554
2024-03-03,49340.654241367345,50321.46007075884,49686.808156708554
2024-03-04,49340.654241367345,50321.46007075884,49686.808156708554
2024-03-05,48124.311950965064,50214.37982295809,49576.957671081946
2024-03-06,48167.268354196036,50125.89382459128,49232.48866848913
2024-03-07,48895.806410383404,50339.79115980746,48823.167202481374
2024-03-08,48528.37407832056,50470.25440977795,49397.238533663134
2024-03-09,48452.2111428177,50201.246330757735,49546.868723754116
2024-03-10,48452.2111428177,50201.246330757735,49546.868723754116
2024-03-11,48452.2111428177,50201.246330757735,49546.868723754116
2024-03-12,48646.23204253914,50075.60297599049,48787.89184654717
2024-03-13,48522.89073855541,49893.71157899982,48861.76504181967
2024-03-14,48054.877499489405,49911.66264580547,48404.86537650194
2024-03-15,47951.86186436291,49859.83254672938,48526.74744318099
2024-03-16,48394.85712360549,50461.73355928349,49722.86544669136
2024-03-17,48394.85712360549,50461.73355928349,49722.86544669136
2024-03-18,48394.85712360549,50461.73355928349,49722.86544669136
2024-03-19,48559.762188312525,50653.07264224538,49375.71840094105
2024-03-20,49425.25762783156,50776.502442833334,49777.78937861348
2024-03-21,49764.2013008378,50530.95724620371,49293.084313560845
2024-03-22,49432.46592312432,50741.35879652042,48802.86169898007
2024-03-23,49561.01976416864,50611.51893586581,48904.94839682818
2024-03-24,49561.01976416864,50611.51893586581,48904.94839682818
2024-03-25,49561.01976416864,50611.51893586581,48904.94839682818
2024-03-26,49313.58060354998,51077.19158917685,49812.71731915875
2024-03-27,49800.57010602831,51183.03690234467,50321.706878659825
2024-03-28,49784.491179879005,51047.569422613255,49829.99608617876
2024-03-29,49607.154306037264,51263.861432931866,49808.582921123074
2024-03-30,49607.154306037264,51263.861432931866,49808.582921123074
2024-03-31,49607.154306037264,51263.861432931866,49808.582921123074
2024-04-01,49607.154306037264,51263.86143293187,49808.582921123074
2024-04-02,48820.715949074016,51396.56383283108,49011.92954032023
2024-04-03,49205.0557373278,51335.228816484756,49246.3962004153
2024-04-04,48394.68513647488,51548.3555754259,49945.162185637164
