Date,Total_Portfolio_Value,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-03-01,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
2024-03-02,55353.757707900695,4982.0447,3166.4282,5028.9568,4861.8207,17900.4742,4885.1591,5179.7542,-30.775,4642.2227,4737.672
2024-03-03,55353.757707900695,4982.0447,3166.4282,5028.9568,4861.8207,17900.4742,4885.1591,5179.7542,-30.775,4642.2227,4737.672
2024-03-04,55353.757707900695,4982.0447,3166.4282,5028.9568,4861.8207,17900.4742,4885.1591,5179.7542,-30.775,4642.2227,4737.672
2024-03-05,31590.30613842397,4884.9735,1559.2061,4952.9251,4837.0283,10270.8291,4824.794,5224.1783,-13980.5287,4459.633,4557.2674
2024-03-06,29086.36156280583,4867.8598,1442.2888,4984.1107,4790.7247,2567.2503,4791.4214,5390.4496,-7549.4624,4356.0006,3445.718
2024-03-07,17935.25491962153,4960.7229,-2194.3074,5052.2716,4899.3735,-6082.7106,4818.9049,5631.6522,-5679.1507,4408.0634,2120.435
2024-03-08,18139.266128934392,4919.4817,5863.9738,5036.9758,4936.9262,-15428.7892,4866.5099,5319.2257,-3482.3201,4326.3916,1780.8909
2024-03-09,21692.054481260668,4824.3745,14081.5996,4974.3093,5019.3241,-18422.3557,4960.7383,5212.6316,-3274.3091,4386.3503,-70.6085
2024-03-10,21692.054481260668,4824.3745,14081.5996,4974.3093,5019.3241,-18422.3557,4960.7383,5212.6316,-3274.3091,4386.3503,-70.6085
2024-03-11,21692.054481260668,4824.3745,14081.5996,4974.3093,5019.3241,-18422.3557,4960.7383,5212.6316,-3274.3091,4386.3503,-70.6085
2024-03-12,35707.79638169525,4920.6037,16071.9973,5008.0185,5049.5844,-5725.7761,4916.5686,5585.7092,-3790.1157,4380.6749,-709.4685
2024-03-13,50353.89941673914,4953.4282,9472.9277,5071.5769,5096.6165,15954.513,4974.4799,5523.4183,-3669.515,4181.8001,-1205.3463
2024-03-14,26814.071832605125,5014.8692,7329.3045,5077.5171,5217.2969,-3314.6382,4920.4953,5344.5062,-4923.7224,4009.5736,-1861.1304
2024-03-15,16589.448352081894,4893.3901,4993.3816,5152.5096,5147.2947,-10955.3876,4890.0672,5338.0034,-4378.8893,4035.9753,-2526.8966
2024-03-16,4302.418496349073,4895.0734,5094.1612,5225.7195,5384.2792,-25652.9083,4845.8975,5375.5606,-3837.5634,4288.3933,-1316.1945
2024-03-17,4302.418496349073,4895.0734,5094.1612,5225.7195,5384.2792,-25652.9083,4845.8975,5375.5606,-3837.5634,4288.3933,-1316.1945
2024-03-18,4302.418496349073,4895.0734,5094.1612,5225.7195,5384.2792,-25652.9083,4845.8975,5375.5606,-3837.5634,4288.3933,-1316.1945
