Date,Total_Portfolio_Value,Unused_Cash,AMZN_Value,AMZN_Pos,BA_Value,BA_Pos,CAT_Value,CAT_Pos,GOOGL_Value,GOOGL_Pos,GS_Value,GS_Pos,NKE_Value,NKE_Pos,NVDA_Value,NVDA_Pos,SOFI_Value,SOFI_Pos,TSLA_Value,TSLA_Pos,UNH_Value,UNH_Pos
2024-03-01,50000.0,20000.0,1000.0,-0.01,1000.0,-0.01,1000.0,0.02,1000.0,0.02,1000.0,0.02,1000.0,-0.01,22000.0,-0.22,1000.0,-0.01,20000.0,0.0,1000.0,0.02
2024-03-02,49686.808156708554,20000.0,1001.7955,-0.01,998.5074,-0.01,1005.7914,0.02,972.3641,0.02,996.5838,0.02,1011.6858,-0.01,21604.5407,-0.22,1086.3667,-0.01,20000.0,0.0,1009.1728,-0.01
2024-03-03,49686.808156708554,20000.0,1001.7955,-0.01,998.5074,-0.01,1005.7914,0.02,972.3641,0.02,996.5838,0.02,1011.6858,-0.01,21604.5407,-0.22,1086.3667,-0.01,20000.0,0.0,1009.1728,-0.01
2024-03-04,49686.808156708554,20000.0,1001.7955,-0.01,998.5074,-0.01,1005.7914,0.02,972.3641,0.02,996.5838,0.02,1011.6858,-0.01,21604.5407,-0.22,1086.3667,-0.01,20000.0,0.0,1009.1728,-0.01
2024-03-05,49576.957671081946,20000.0,1011.5551,-0.01,997.8124,0.02,990.585,0.02,967.4057,0.02,993.1676,0.02,1017.9949,-0.01,21511.8951,-0.22,1076.782,-0.01,20000.0,0.0,1009.7598,-0.01
2024-03-06,49232.48866848913,20000.0,1013.327,-0.01,1007.8898,0.02,996.8221,0.02,958.1449,0.02,990.2613,0.02,1021.534,-0.01,21169.5628,-0.22,1071.725,-0.01,20000.0,0.0,1003.2218,-0.01
2024-03-07,48823.167202481374,20000.0,1003.6615,-0.01,1019.3512,-0.01,1010.4543,0.02,979.8747,0.02,986.59,0.02,1018.6168,-0.01,20695.9332,-0.22,1106.1579,0.02,20000.0,0.0,1002.5276,0.02
2024-03-08,49397.238533663134,20000.0,1007.8335,-0.01,1035.1161,-0.01,1007.3952,0.02,987.3852,0.02,984.4742,0.02,1013.6224,-0.01,21270.0061,-0.22,1101.8538,0.02,20000.0,0.0,989.5521,-0.01
2024-03-09,49546.868723754116,20000.0,1017.5756,-0.01,990.7517,0.02,994.8619,0.02,1003.8648,0.02,989.6238,0.02,1003.9494,-0.01,21483.1251,-0.22,1073.1597,0.02,20000.0,0.0,989.9567,0.02
2024-03-10,49546.868723754116,20000.0,1017.5756,-0.01,990.7517,0.02,994.8619,0.02,1003.8648,0.02,989.6238,0.02,1003.9494,-0.01,21483.1251,-0.22,1073.1597,0.02,20000.0,0.0,989.9567,0.02
