Date,Value_Benchmark,Value_EqualWeight,Value_RebalanceStrategy
2024-03-01,50000.0,50000.0,50000.0
2024-03-02,49340.654241367345,49954.86772747976,49613.48968805274
2024-03-03,49340.654241367345,49954.86772747976,49613.48968805274
2024-03-04,49340.654241367345,49954.86772747976,49613.48968805274
2024-03-05,48124.311950965064,50375.79162519505,49609.240031529334
2024-03-06,48167.268354196036,50242.52605276932,49255.815114124736
2024-03-07,48895.806410383404,50226.35009747878,48800.47899001565
2024-03-08,48528.37407832056,50586.45691424022,49420.479034555596
2024-03-09,48452.2111428177,50637.105046495264,49634.04046690163
2024-03-10,48452.2111428177,50637.105046495264,49634.04046690163
2024-03-11,48452.2111428177,50637.105046495264,49634.04046690163
2024-03-12,48646.23204253914,50157.737355990204,48804.31872254712
2024-03-13,48522.89073855541,50260.426402462785,48935.108006512266
2024-03-14,48054.877499489405,49975.55032219811,48417.64291178047
2024-03-15,47951.86186436291,50002.467026173625,48555.27433906984
2024-03-16,48394.85712360549,50562.99941090347,49743.11861701535
2024-03-17,48394.85712360549,50562.99941090347,49743.11861701535
2024-03-18,48394.85712360549,50562.99941090347,49743.11861701535
2024-03-19,48559.762188312525,50401.18752496068,49325.34137748411
2024-03-20,49425.25762783156,50907.49944453724,49803.98877895426
2024-03-21,49764.2013008378,50820.26619878948,49350.946104078
2024-03-22,49432.46592312432,50860.039638864946,48826.597867448974
2024-03-23,49561.01976416864,50879.35604632001,48958.51581891902
2024-03-24,49561.01976416864,50879.35604632001,48958.51581891902
2024-03-25,49561.01976416864,50879.35604632001,48958.51581891902
2024-03-26,49313.58060354998,51017.6040765847,49800.79981664032
2024-03-27,49800.57010602831,51384.26120431552,50361.95173905399
2024-03-28,49784.491179879005,51194.54155272749,49859.390512201615
2024-03-29,49607.154306037264,51297.37000242213,49815.284635021126
2024-03-30,49607.154306037264,51297.37000242213,49815.284635021126
2024-03-31,49607.154306037264,51297.37000242213,49815.284635021126
2024-04-01,49607.154306037264,51297.37000242213,49815.28463502112
2024-04-02,48820.715949074016,51183.93997257851,48970.702985433156
2024-04-03,49205.0557373278,51731.8275068152,49323.53315388599
2024-04-04,48394.68513647488,51673.36445776527,49969.61749541565
2024-04-05,48786.70483134397,51246.74525449023,48953.336865283156
2024-04-06,49187.50908613548,51714.16710816375,50022.35416979228
