Date,Total_Portfolio_Value,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-03-01,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
2024-03-02,49340.654241367345,4982.0447,5013.4998,5028.9568,4861.8207,5053.4657,4885.1591,5179.7542,4771.9689,4642.2227,4921.7616
2024-03-03,49340.654241367345,4982.0447,5013.4998,5028.9568,4861.8207,5053.4657,4885.1591,5179.7542,4771.9689,4642.2227,4921.7616
2024-03-04,49340.654241367345,4982.0447,5013.4998,5028.9568,4861.8207,5053.4657,4885.1591,5179.7542,4771.9689,4642.2227,4921.7616
2024-03-05,48124.311950965064,4884.9735,5028.5,4952.9251,4837.0283,5036.2018,4824.794,5224.1783,4043.3816,4459.633,4832.6963
2024-03-06,48167.268354196036,4867.8598,5025.0,4984.1107,4790.7247,5018.9384,4791.4214,5390.4496,4115.6843,4356.0006,4827.0788
2024-03-07,48895.806410383404,4960.7229,5075.75,5052.2716,4899.3735,5004.2513,4818.9049,5631.6522,4154.6162,4408.0634,4890.2004
2024-03-08,48528.37407832056,4919.4817,4962.2501,5036.9758,4936.9262,4985.6987,4866.5099,5319.2257,4288.098,4326.3916,4886.8165
2024-03-09,48452.2111428177,4824.3745,4812.2501,4974.3093,5019.3241,4975.0065,4960.7383,5212.6316,4271.4127,4386.3503,5015.8136
2024-03-10,48452.2111428177,4824.3745,4812.2501,4974.3093,5019.3241,4975.0065,4960.7383,5212.6316,4271.4127,4386.3503,5015.8136
2024-03-11,48452.2111428177,4824.3745,4812.2501,4974.3093,5019.3241,4975.0065,4960.7383,5212.6316,4271.4127,4386.3503,5015.8136
2024-03-12,48646.23204253914,4920.6037,4606.0001,5008.0185,5049.5844,5001.03,4916.5686,5585.7092,4160.1781,4380.6749,5017.8645
2024-03-13,48522.89073855541,4953.4282,4558.7502,5071.5769,5096.6165,5054.2382,4974.4799,5523.4183,4104.5608,4181.8001,5004.0216
2024-03-14,48054.877499489405,5014.8692,4528.7498,5077.5171,5217.2969,5006.57,4920.4953,5344.5062,3921.0236,4009.5736,5014.2757
2024-03-15,47951.86186436291,4893.3901,4563.25,5152.5096,5147.2947,4988.5333,4890.0672,5338.0034,3909.9001,4035.9753,5032.9383
2024-03-16,48394.85712360549,4895.0734,4495.9999,5225.7195,5384.2792,4951.9452,4845.8975,5375.5606,3937.7086,4288.3933,4994.28
2024-03-17,48394.85712360549,4895.0734,4495.9999,5225.7195,5384.2792,4951.9452,4845.8975,5375.5606,3937.7086,4288.3933,4994.28
2024-03-18,48394.85712360549,4895.0734,4495.9999,5225.7195,5384.2792,4951.9452,4845.8975,5375.5606,3937.7086,4288.3933,4994.28
2024-03-19,48559.762188312525,4934.9117,4528.5,5255.4193,5360.5805,5007.2142,4905.7719,5432.8689,3848.7209,4227.2011,5058.5736
2024-03-20,49425.25762783156,4998.0359,4694.5,5293.2875,5422.9262,5107.8326,4920.9856,5492.0601,4093.4373,4334.2875,5067.9049
2024-03-21,49764.2013008378,4998.0359,4692.4999,5413.7209,5381.363,5329.9403,4947.9781,5556.6602,4137.9312,4264.2126,5041.8592
2024-03-22,49432.46592312432,5018.2357,4721.2502,5317.9386,5496.9385,5241.1749,4606.4,5730.1031,4060.067,4215.1106,5025.2475
2024-03-23,49561.01976416864,5041.8024,4785.2501,5285.8629,5471.4168,5216.9539,4601.0013,5773.4327,4143.4928,4259.5244,4982.2824
2024-03-24,49561.01976416864,5041.8024,4785.2501,5285.8629,5471.4168,5216.9539,4601.0013,5773.4327,4143.4928,4259.5244,4982.2824
2024-03-25,49561.01976416864,5041.8024,4785.2501,5285.8629,5471.4168,5216.9539,4601.0013,5773.4327,4143.4928,4259.5244,4982.2824
2024-03-26,49313.58060354998,5002.2445,4687.5,5292.3964,5493.292,5232.929,4543.581,5625.089,4004.4494,4383.8827,5048.2166
2024-03-27,49800.57010602831,5045.1689,4798.7499,5415.0572,5500.5833,5349.7808,4619.6505,5484.6455,4093.4373,4437.1793,5056.3173
2024-03-28,49784.491179879005,5060.5994,4824.7501,5441.4909,5502.7714,5381.216,4612.2894,5491.0876,4060.067,4337.4949,5072.7245
2024-03-29,49607.154306037264,5077.1518,4737.5,5401.5439,5669.0256,5327.3636,4542.5993,5491.5129,4015.5728,4323.4308,5021.4536
2024-03-30,49607.154306037264,5077.1518,4737.5,5401.5439,5669.0256,5327.3636,4542.5993,5491.5129,4015.5728,4323.4308,5021.4536
2024-03-31,49607.154306037264,5077.1518,4737.5,5401.5439,5669.0256,5327.3636,4542.5993,5491.5129,4015.5728,4323.4308,5021.4536
2024-04-01,49607.154306037264,5077.1518,4737.5,5401.5439,5669.0256,5327.3636,4542.5993,5491.5129,4015.5728,4323.4308,5021.4536
2024-04-02,48820.715949074016,5069.2964,4700.9998,5417.7303,5635.1177,5284.0759,4463.5849,5436.15,4004.4494,4111.4786,4697.8328
2024-04-03,49205.0557373278,5117.5514,4623.0,5580.4871,5648.2431,5333.677,4433.1571,5406.4935,4193.5485,4154.6586,4714.2394
2024-04-04,48394.68513647488,5049.9382,4582.2498,5491.3865,5488.1882,5233.8311,4371.3195,5220.5925,4065.6285,4222.0194,4669.5313
2024-04-05,48786.70483134397,5192.1784,4578.5,5632.6097,5560.0123,5257.2787,4360.031,5348.3958,4115.6843,4068.7918,4673.2229
2024-04-06,49187.50908613548,5195.5449,4538.9999,5546.0345,5645.6915,5289.1005,4416.9613,5295.2205,4315.9068,4268.1602,4675.8889
2024-04-07,49187.50908613548,5195.5449,4538.9999,5546.0345,5645.6915,5289.1005,4416.9613,5295.2205,4315.9068,4268.1602,4675.8889
2024-04-08,49187.50908613548,5195.5449,4538.9999,5546.0345,5645.6915,5289.1005,4416.9613,5295.2205,4315.9068,4268.1602,4675.8889
2024-04-09,49305.29543262118,5209.0112,4452.9999,5522.7198,5709.4945,5291.2905,4466.0387,5187.1071,4388.2092,4364.3902,4714.0343
2024-04-10,48678.6846974083,5216.8667,4365.7501,5525.2448,5692.7232,5163.102,4367.8839,5289.5079,4204.6719,4238.0575,4614.8767
2024-04-11,49203.298655234255,5303.838,4334.0,5523.9089,5811.9446,5120.8451,4515.1161,5506.888,4249.1658,4308.1328,4529.4594
2024-04-12,48334.11761171375,5221.9168,4238.7501,5429.6106,5750.6932,5017.9076,4515.1161,5359.213,4076.752,4220.539,4503.6192
2024-04-13,47871.21400818659,5151.498,4195.5002,5404.0689,5646.0556,5164.6483,4569.1015,5226.4267,3959.9555,3984.4057,4569.5537
2024-04-14,47871.21400818659,5151.498,4195.5002,5404.0689,5646.0556,5164.6483,4569.1015,5226.4267,3959.9555,3984.4057,4569.5537
2024-04-15,47871.21400818659,5151.498,4195.5002,5404.0689,5646.0556,5164.6483,4569.1015,5226.4267,3959.9555,3984.4057,4569.5537
2024-04-16,48077.98156532061,5143.0818,4263.7501,5344.2232,5629.2842,5112.8572,4583.3334,5312.3583,4004.4494,3876.5792,4808.0649
2024-04-17,48025.035349538564,5085.8489,4255.2502,5321.057,5668.2959,5203.6843,4654.4956,5106.9498,3982.2025,3835.6198,4911.6315
2024-04-18,48046.768993337144,5028.0552,4255.7499,5315.265,5687.9834,5193.3776,4698.6653,5145.6001,3965.5174,3699.4175,5057.1375
2024-04-19,47245.006091574935,4899.2819,4245.5002,5285.9043,5617.9823,5204.8439,4639.2816,4630.8036,3954.3939,3628.3558,5138.6586
2024-04-20,47668.183849888235,4972.2252,4261.9999,5329.8713,5697.8275,5376.8355,4622.5954,4832.4441,4032.2582,3504.9843,5037.1425
2024-04-21,47668.183849888235,4972.2252,4261.9999,5329.8713,5697.8275,5376.8355,4622.5954,4832.4441,4032.2582,3504.9843,5037.1425
