Date,Total_Portfolio_Value,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-03-01,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
2024-03-02,49954.86772747976,5008.9777,4993.2637,5028.9568,4861.8207,5053.4657,5058.4289,4910.1229,5118.0698,5000.0,4921.7616
2024-03-03,49954.86772747976,5008.9777,4993.2637,5028.9568,4861.8207,5053.4657,5058.4289,4910.1229,5118.0698,5000.0,4921.7616
2024-03-04,49954.86772747976,5008.9777,4993.2637,5028.9568,4861.8207,5053.4657,5058.4289,4910.1229,5118.0698,5000.0,4921.7616
2024-03-05,50375.79162519505,5057.7757,4985.8106,4952.9251,4837.0283,5036.2018,5089.9747,4889.0671,5560.1005,5000.0,4966.9079
2024-03-06,50242.52605276932,5066.6352,4982.3404,4984.1107,4790.7247,5018.9384,5107.6699,4811.2643,5511.0453,5000.0,4969.7971
2024-03-07,50226.35009747878,5018.3076,5032.6595,5052.2716,4899.3735,5004.2513,5093.0839,4703.6212,5485.1632,5000.0,4937.6184
2024-03-08,50586.45691424022,5039.1676,5089.8892,5036.9758,4936.9262,4985.6987,5068.112,4834.0923,5661.3935,5000.0,4934.2016
2024-03-09,50637.105046495264,5087.8781,5168.6076,4974.3093,5019.3241,4975.0065,5019.7472,4882.5284,5639.3646,5000.0,4870.3392
2024-03-10,50637.105046495264,5087.8781,5168.6076,4974.3093,5019.3241,4975.0065,5019.7472,4882.5284,5639.3646,5000.0,4870.3392
2024-03-11,50637.105046495264,5087.8781,5168.6076,4974.3093,5019.3241,4975.0065,5019.7472,4882.5284,5639.3646,5000.0,4870.3392
2024-03-12,50157.737355990204,5037.1355,4947.0843,5008.0185,5049.5844,5001.03,5042.2451,4707.8027,5492.5062,5000.0,4872.3306
2024-03-13,50260.426402462785,5020.3346,4972.6557,5071.5769,5096.6165,5054.2382,5012.8091,4734.053,5419.0771,5000.0,4879.0652
2024-03-14,49975.55032219811,4989.1992,4989.099,5077.5171,5217.2969,5006.57,5040.2328,4810.7247,5176.7607,4794.0761,4874.0739
2024-03-15,50002.467026173625,5049.6278,5027.1061,5040.4311,5147.2947,4988.5333,5055.8897,4813.6514,5162.0749,4825.6435,4892.2146
2024-03-16,50562.99941090347,5048.7593,4953.02,5112.0486,5384.2792,4951.9452,5078.8794,4796.7174,5198.7893,5127.4489,4911.1122
2024-03-17,50562.99941090347,5048.7593,4953.02,5112.0486,5384.2792,4951.9452,5078.8794,4796.7174,5198.7893,5127.4489,4911.1122
2024-03-18,50562.99941090347,5048.7593,4953.02,5112.0486,5384.2792,4951.9452,5078.8794,4796.7174,5198.7893,5127.4489,4911.1122
2024-03-19,50401.18752496068,5028.2147,4935.2146,5141.1023,5360.5805,5007.2142,5047.7906,4771.1487,5081.3026,5054.284,4974.3352
2024-03-20,50907.49944453724,4996.0559,4847.1734,5178.1468,5422.9262,5107.8326,5039.9817,4745.1578,5404.3913,5182.3226,4983.5111
2024-03-21,50820.26619878948,4996.0559,4845.1083,5295.9605,5381.363,5000.2741,5026.2157,4717.2505,5463.1346,5098.537,4996.3666
2024-03-22,50860.039638864946,4985.96,4874.7936,5202.2617,5496.9385,5042.4391,5209.2378,4643.6295,5360.3338,5039.8279,5004.6179
2024-03-23,50879.35604632001,4974.2524,4842.0851,5218.022,5471.4168,5019.1365,5203.1325,4626.0725,5470.4773,5092.9316,4961.8292
2024-03-24,50879.35604632001,4974.2524,4842.0851,5218.022,5471.4168,5019.1365,5203.1325,4626.0725,5470.4773,5092.9316,4961.8292
2024-03-25,50879.35604632001,4974.2524,4842.0851,5218.022,5471.4168,5019.1365,5203.1325,4626.0725,5470.4773,5092.9316,4961.8292
2024-03-26,51017.6040765847,4993.7664,4892.3114,5224.4717,5493.292,5034.5059,5235.907,4685.5041,5286.9043,5241.6215,4929.3198
2024-03-27,51384.26120431552,4972.3406,4835.2694,5345.5582,5500.5833,5146.9269,5192.6195,4743.9964,5404.3913,5305.346,4937.2298
2024-03-28,51194.54155272749,4964.7367,4822.2234,5371.6526,5502.7714,5131.8716,5184.3454,4741.2103,5360.3338,5186.1576,4929.2388
2024-03-29,51297.37000242213,4956.6173,4866.426,5332.2183,5669.0256,5157.7444,5223.9618,4741.0267,5301.5901,5169.3417,4879.4181
2024-03-30,51297.37000242213,4956.6173,4866.426,5332.2183,5669.0256,5157.7444,5223.9618,4741.0267,5301.5901,5169.3417,4879.4181
2024-03-31,51297.37000242213,4956.6173,4866.426,5332.2183,5669.0256,5157.7444,5223.9618,4741.0267,5301.5901,5169.3417,4879.4181
2024-04-01,51297.37000242213,4956.6173,4866.426,5332.2183,5669.0256,5157.7444,5223.9618,4741.0267,5301.5901,5169.3417,4879.4181
2024-04-01,51297.37000242213,5129.737,5129.737,5129.737,5129.737,5129.737,5129.737,5129.737,5129.737,5129.737,5129.737
2024-04-02,51183.93997257851,5133.7054,5090.2148,5145.1089,5099.0547,5088.0551,5174.9411,5155.5948,5115.5272,4878.2565,5303.4813
2024-04-03,51731.8275068152,5109.2713,5132.9766,5299.6758,5110.9315,5135.8161,5192.6703,5169.6578,5357.0939,4929.4894,5294.2447
2024-04-04,51673.36445776527,5143.0232,5155.75,5215.0587,5184.9224,5039.6742,5229.2696,5258.5365,5193.6812,5009.4127,5244.0359
2024-04-05,51246.74525449023,5070.5922,5151.5308,5149.2666,5151.3242,5062.252,5236.0348,5194.1704,5162.0013,4827.6087,5241.9642
2024-04-06,51714.16710816375,5068.9484,5107.0871,5070.1206,5230.7056,5092.8933,5202.1817,5219.9914,5413.1258,5064.1586,5244.9546
2024-04-07,51714.16710816375,5068.9484,5107.0871,5070.1206,5230.7056,5092.8933,5202.1817,5219.9914,5413.1258,5064.1586,5244.9546
2024-04-08,51714.16710816375,5068.9484,5107.0871,5070.1206,5230.7056,5092.8933,5202.1817,5219.9914,5413.1258,5064.1586,5244.9546
2024-04-09,51923.01648761836,5062.3792,5010.3235,5048.8065,5289.8188,5095.0021,5173.5193,5273.2801,5503.8094,5178.3352,5287.7424
2024-04-10,51511.06253296354,5058.5621,5060.1416,5047.6527,5274.2802,4971.5689,5231.3258,5221.2291,5273.6121,5028.4419,5344.2481
2024-04-11,51468.27544864842,5016.396,5078.6426,5046.4323,5384.7382,4930.8796,5145.3255,5113.9421,5245.9289,5111.586,5394.4041
2024-04-12,51626.74980346128,5055.1367,5135.3873,5090.0654,5413.3391,4831.7607,5145.3255,5182.5109,5355.7105,5007.6562,5409.8575
2024-04-13,51555.24344885177,5089.2216,5161.7889,5066.121,5463.2711,4762.6248,5114.8383,5246.715,5434.1182,4727.4849,5489.0596
2024-04-14,51555.24344885177,5089.2216,5161.7889,5066.121,5463.2711,4762.6248,5114.8383,5246.715,5434.1182,4727.4849,5489.0596
