Date,Total_Portfolio_Value,Unused_Cash,AMZN_Value,AMZN_Pos,BA_Value,BA_Pos,CAT_Value,CAT_Pos,GOOGL_Value,GOOGL_Pos,GS_Value,GS_Pos,NKE_Value,NKE_Pos,NVDA_Value,NVDA_Pos,SOFI_Value,SOFI_Pos,TSLA_Value,TSLA_Pos,UNH_Value,UNH_Pos
2024-03-01,50000.0,33500.0,1000.0,-0.01,1000.0,-0.01,1000.0,0.02,1000.0,0.02,1000.0,-0.01,1000.0,-0.01,22000.0,-0.22,1000.0,-0.01,20000.0,0.0,1000.0,0.02
2024-03-02,49613.48968805274,33000.0,1001.7955,-0.01,998.6527,-0.01,1005.7914,0.02,972.3641,0.02,1010.6931,0.02,1011.6858,-0.01,21604.5407,-0.22,1023.614,-0.01,20000.0,0.0,984.3523,0.02
2024-03-03,49613.48968805274,33000.0,1001.7955,-0.01,998.6527,-0.01,1005.7914,0.02,972.3641,0.02,1010.6931,0.02,1011.6858,-0.01,21604.5407,-0.22,1023.614,-0.01,20000.0,0.0,984.3523,0.02
2024-03-04,49613.48968805274,33000.0,1001.7955,-0.01,998.6527,-0.01,1005.7914,0.02,972.3641,0.02,1010.6931,0.02,1011.6858,-0.01,21604.5407,-0.22,1023.614,-0.01,20000.0,0.0,984.3523,0.02
2024-03-05,49609.240031529334,33500.0,1011.5551,-0.01,997.1621,-0.01,990.585,0.02,967.4057,0.02,1007.2404,0.02,1017.9949,-0.01,21511.8951,-0.22,1112.0201,-0.01,20000.0,0.0,993.3816,-0.01
2024-03-06,49255.815114124736,33000.0,1013.327,-0.01,996.4681,0.02,996.8221,0.02,958.1449,0.02,1003.7877,0.02,1021.534,-0.01,21169.5628,-0.22,1102.2091,-0.01,20000.0,0.0,993.9594,-0.01
2024-03-07,48800.47899001565,33000.0,1003.6615,-0.01,1006.5319,0.02,1010.4543,0.02,979.8747,0.02,1000.8503,0.02,1018.6168,-0.01,20695.9332,-0.22,1097.0326,-0.01,20000.0,0.0,987.5237,-0.01
2024-03-08,49420.479034555596,32500.0,1007.8335,-0.01,1017.9778,-0.01,1007.3952,0.02,987.3852,0.02,997.1397,0.02,1013.6224,-0.01,21270.0061,-0.22,1132.2787,0.02,20000.0,0.0,986.8403,0.02
2024-03-09,49634.04046690163,33000.0,1017.5756,-0.01,1033.7215,-0.01,994.8619,0.02,1003.8648,0.02,995.0013,0.02,1003.9494,-0.01,21483.1251,-0.22,1127.8729,0.02,20000.0,0.0,974.0678,-0.01
2024-03-10,49634.04046690163,33000.0,1017.5756,-0.01,1033.7215,-0.01,994.8619,0.02,1003.8648,0.02,995.0013,0.02,1003.9494,-0.01,21483.1251,-0.22,1127.8729,0.02,20000.0,0.0,974.0678,-0.01
2024-03-11,49634.04046690163,33000.0,1017.5756,-0.01,1033.7215,-0.01,994.8619,0.02,1003.8648,0.02,995.0013,0.02,1003.9494,-0.01,21483.1251,-0.22,1127.8729,0.02,20000.0,0.0,974.0678,-0.01
2024-03-12,48804.31872254712,32000.0,1007.4271,-0.01,989.4169,0.02,1001.6037,0.02,1009.9169,0.02,1000.206,0.02,1008.449,-0.01,20714.3318,-0.22,1098.5012,0.02,20000.0,0.0,974.4661,0.02
2024-03-13,48935.108006512266,13000.0,1004.0669,-0.01,994.5311,-0.01,1014.3154,0.02,1019.3233,0.02,1010.8476,0.02,1002.5618,-0.01,20829.8333,-0.22,1083.8154,0.02,20000.0,0.4,975.813,-0.01
2024-03-14,48417.64291178047,13000.0,997.8398,-0.01,997.8198,-0.01,1015.5034,0.02,1043.4594,0.02,1001.314,0.02,1008.0466,-0.01,21167.1885,-0.22,1035.3521,0.02,19176.3045,0.4,974.8148,-0.01
2024-03-15,48555.27433906984,12500.0,1009.9256,-0.01,1005.4212,0.02,1008.0862,-0.01,1029.4589,0.02,997.7067,0.02,1011.1779,-0.01,21180.066,-0.22,1032.415,0.02,19302.5739,0.4,978.4429,0.02
2024-03-16,49743.11861701535,12500.0,1009.7519,-0.01,990.604,0.02,1022.4097,0.02,1076.8558,0.02,990.389,0.02,1015.7759,-0.01,21105.5564,-0.22,1039.7579,0.02,20509.7956,0.4,982.2224,-0.01
2024-03-17,49743.11861701535,12500.0,1009.7519,-0.01,990.604,0.02,1022.4097,0.02,1076.8558,0.02,990.389,0.02,1015.7759,-0.01,21105.5564,-0.22,1039.7579,0.02,20509.7956,0.4,982.2224,-0.01
2024-03-18,49743.11861701535,12500.0,1009.7519,-0.01,990.604,0.02,1022.4097,0.02,1076.8558,0.02,990.389,0.02,1015.7759,-0.01,21105.5564,-0.22,1039.7579,0.02,20509.7956,0.4,982.2224,-0.01
2024-03-19,49325.34137748411,12500.0,1005.6429,-0.01,987.0429,-0.01,1028.2205,0.02,1072.1161,0.02,1001.4428,0.02,1009.5581,-0.01,20993.0543,-0.22,1016.2605,0.02,20217.1361,0.4,994.867,0.02
2024-03-20,49803.98877895426,12500.0,999.2112,-0.01,969.4347,-0.01,1035.6294,0.02,1084.5852,0.02,1021.5665,0.02,1007.9963,-0.01,20878.6944,-0.22,1080.8783,0.02,20729.2906,0.4,996.7022,0.02
2024-03-21,49350.946104078,13000.0,999.2112,-0.01,969.0217,0.02,1059.1921,0.02,1076.2726,0.02,1000.0548,-0.01,1005.2431,-0.01,20755.9022,-0.22,1092.6269,0.02,20394.1482,0.4,999.2733,-0.01
2024-03-22,48826.597867448974,13000.0,997.192,-0.01,974.9587,0.02,1040.4523,0.02,1099.3877,0.02,1008.4878,-0.01,1041.8476,-0.01,20431.9699,-0.22,1072.0668,0.02,20159.3116,0.4,1000.9236,-0.01
2024-03-23,48958.51581891902,12500.0,994.8505,-0.01,968.417,-0.01,1043.6044,-0.01,1094.2834,0.02,1003.8273,0.02,1040.6265,0.02,20354.7191,-0.22,1094.0955,0.02,20371.7264,0.4,992.3658,0.02
2024-03-24,48958.51581891902,12500.0,994.8505,-0.01,968.417,-0.01,1043.6044,-0.01,1094.2834,0.02,1003.8273,0.02,1040.6265,0.02,20354.7191,-0.22,1094.0955,0.02,20371.7264,0.4,992.3658,0.02
2024-03-25,48958.51581891902,12500.0,994.8505,-0.01,968.417,-0.01,1043.6044,-0.01,1094.2834,0.02,1003.8273,0.02,1040.6265,0.02,20354.7191,-0.22,1094.0955,0.02,20371.7264,0.4,992.3658,0.02
2024-03-26,49800.79981664032,13000.0,998.7533,-0.01,978.4623,-0.01,1044.8943,0.02,1098.6584,0.02,1006.9012,0.02,1047.1814,-0.01,20616.2181,-0.22,1057.3809,0.02,20966.486,0.4,985.864,-0.01
2024-03-27,50361.95173905399,12500.0,994.4681,-0.01,967.0539,-0.01,1069.1116,0.02,1100.1167,0.02,1029.3854,0.02,1038.5239,-0.01,20873.5842,-0.22,1080.8783,0.02,21221.3838,0.4,987.446,0.02
2024-03-28,49859.390512201615,13000.0,992.9473,-0.01,964.4447,-0.01,1074.3305,0.02,1100.5543,0.02,1026.3743,-0.01,1036.8691,0.02,20861.3254,-0.22,1072.0668,0.02,20744.6304,0.4,985.8478,-0.01
2024-03-29,49815.284635021126,13000.0,991.3235,-0.01,973.2852,-0.01,1066.4437,0.02,1133.8051,0.02,1031.5489,-0.01,1044.7924,-0.01,20860.5176,-0.22,1060.318,0.02,20677.3667,0.4,975.8836,0.02
2024-03-30,49815.284635021126,13000.0,991.3235,-0.01,973.2852,-0.01,1066.4437,0.02,1133.8051,0.02,1031.5489,-0.01,1044.7924,-0.01,20860.5176,-0.22,1060.318,0.02,20677.3667,0.4,975.8836,0.02
